max_episodes, 1000
episodes, 1000
melee, 4638
range, 1696
buff, 641
health, 601
magic, 12
win, 660
draw, 3
loot, 2856
episode_reward, 495
0, 991
1, 1438
2, 1100
3, 1220
4, 1694
5, 1250
6, 1449
7, 1426
8, 1858
9, 413
10, 222
11, 420
12, 504
13, 507
14, 349
15, 287
16, 90
17, 0
18, 0
win_rate, 66.19859
